Number,Animal,Habitat,Species,Age,Weight,Size,Speed,Vulnerability
1,White headed vulture,Savanna,Bird,20,4.70,85,48,1
2,Secretary bird,Savanna,Bird,12,5,152,3,2
3,Kudu,Savanna,Mammal,15,227,285,95,4
4,Blue wildebeest,Savanna,Mammal,20,250,240,80,4
5,Giraffe,Savanna,Mammal,25,828,505,56,4
6,Impala,Savanna,Mammal,20,54,162,80,4
7,Black rhinoceros,Savanna,Mammal,50,1000,380,55,1
8,African lion,Savanna,Mammal,25,238,250,56,2
9,Dung beetle,Savanna,Insect,3,0.10,6,30,4
10,Lilac breasted roller,Savanna,Bird,15,0.10,38,54,4
11,Zebra,Savanna,Mammal,30,313,283,56,3
12,African leopard,Savanna,Mammal,15,60,211,58,2
13,Hippopotamus,Wetland,Mammal,50,1490,500,45,2
14,African jacana,Wetland,Bird,6.5,0.26,39,80,4
15,Flamingo,Wetland,Bird,30,4,150,50,4
16,Blue crane,Wetland,Bird,30,6.30,120,40,2
17,Waterbuck,Wetland,Mammal,18,270,235,56,4
18,Giant kingfisher,Wetland,Bird,10,0.40,48,40,4
19,Nile crocodile,Wetland,Reptile,100,1000,600,35,3
20,Southern bald ibis,Wetland,Bird,15,2,80,35,2
21,African fish-eagle,Wetland,Bird,24,3.60,75,80,4
22,Buffalo,Wetland,Mammal,20,800,340,55,4
23,Brown hooded kingfisher,Wetland,Bird,20,0.58,23,17,4
24,Yellow-billed duck,Wetland,Bird,30,0.50,59,50,4
25,Crested barbet,Thicket,Bird,10,0.70,24,60,4
26,Bushbuck,Thicket,Mammal,12,40,150,60,4
27,Common kestrel,Thicket,Bird,15,315,39,65,4
28,Carmine bee-eater,Thicket,Bird,7,0.60,27,42,4
29,Black goshwak,Thicket,Bird,19,1,60,60,4
30,Mountain reedbuck,Thicket,Mammal,14,30,136,50,4
31,Elephant,Thicket,Mammal,70,6000,700,40,2
32,Grant's golden mole,Thicket,Mammal,10,0.025,23.5,5,1
33,Orange breasted sunbird,Thicket,Bird,3.6,0.11,17,50,4
34,Cape eagle-owl,Thicket,Bird,10,1.80,61,80,4
35,Crowned eagle,Thicket,Bird,15,5,99,160,3
36,Hadada ibis,Thicket,Bird,20,1.20,89,78,4
37,Warthog,Nama Karoo,Mammal,18,79,150,50,4
38,Porcupine,Nama Karoo,Mammal,15,18,84,3,4
39,Helmeted guineafowl,Nama Karoo,Bird,20,1.60,71,35,4
40,Puff adder,Nama Karoo,Reptile,16,6,120,20,4
41,Steenbok,Nama Karoo,Mammal,12,11,95,45,4
42,Brown hyena,Nama Karoo,Mammal,12,55,130,55,3
43,Springbok,Nama Karoo,Mammal,9,41,150,88,4
44,Black mamba,Nama Karoo,Reptile,11,1.60,430,20,4
45,Black-backed jackal,Nama Karoo,Mammal,15,8,100,32,4
46,Meerkat,Nama Karoo,Mammal,14,9.75,35,32,4
47,Aardwolf,Nama Karoo,Mammal,12,8.91,92,40,4
48,Red lark,Nama Karoo,Bird,8,0.43,19,28,2
49,Cape baboon,Succulent Karoo,Mammal,45,31.75,145,56,4
50,Dassie,Succulent Karoo,Mammal,12,3.70,56,30,4
51,Bushbaby,Succulent Karoo,Mammal,12,1.25,75,19,4
52,Monkey beetle,Succulent Karoo,Insect,1,0.036,1.1,5,4
53,Gemsbok,Succulent Karoo,Mammal,20,240,240,60,4
54,Aardvark,Succulent Karoo,Mammal,23,53.30,160,42,4
55,Long billed lark,Succulent Karoo,Bird,6,0.75,24,8,4
56,Cape ground squirrel,Succulent Karoo,Mammal,11,0.60,45,16,4
57,Bee,Succulent Karoo,Insect,4,0.0001,1.6,30,4
58,Rock monitor,Succulent Karoo,Reptile,20,17,132,45,4
59,Cape cobra,Succulent Karoo,Reptile,20,8,170,15,4
60,Spring hare,Succulent Karoo,Mammal,8,3,81,72,4
61,Knysna turaco,Forest,Bird,30,0.38,42,30,4
62,Nyala,Forest,Mammal,19,108,112,57,4
63,Knysna dwarf chameleon,Forest,Reptile,5,0.50,18,11,2
64,Wahlberg's epauletted fruit bat,Forest,Mammal,10,0.125,25,40,4
65,Eastern rock elephant shrew,Forest,Mammal,5,0.06,26,13,4
66,Short-tailed pouched rat,Forest,Mammal,7,0.48,16,13,4
67,Bushpig,Forest,Mammal,20,61,155,50,4
68,Large spotted genet,Forest,Mammal,10,1.80,93,48,4
69,Wood owl,Forest,Bird,15,0.35,36,80,4
70,Blue monkey,Forest,Mammal,20,5.51,114,30,4
71,Pink-throated twinspot,Forest,Bird,8,0.01,13.5,40,4
72,Emperor swallowtail butterfly,Forest,Insect,0.083,0.02,12,19,1
73,Leopard toad,Fynbos,Amphibian,13,0.06,14,7,1
74,Angulate tortoise,Fynbos,Reptile,32,2.10,30,0.5,3
75,Bat eared fox,Fynbos,Mammal,13,5,80,50,4
76,Cape gannet,Fynbos,Bird,17,2.60,94,120,2
77,Arctic tern,Fynbos,Bird,29,125,39,40,4
78,Cape siskin,Fynbos,Bird,2,0.20,15,40,4
79,Ostrich,Fynbos,Bird,60,150,280,70,4
80,Small grey mongoose,Fynbos,Mammal,11,0.90,64,32,4
81,Cape rain frog,Fynbos,Amphibian,15,0.005,6,8,3
82,Caracal,Fynbos,Mammal,15,9.50,110,80,4
83,Flap necked chameleon,Fynbos,Reptile,8,0.168,35,5,4
84,Cape sugarbird,Fynbos,Bird,7,0.04,44,50,4
85,African penguin,Coast,Bird,15,5,68,20,1
86,Sandfly,Coast,Insect,0.083,0.0012,0.3,48,4
87,Red duiker,Coast,Mammal,12,14,100,55,4
88,Elephant seal,Coast,Mammal,22,3518,460,19,4
89,Great white pelican,Coast,Bird,23,15,183,65,4
90,Egyptian goose,Coast,Bird,14,4,73,50,4
91,Cape gull,Coast,Bird,20,1.30,65,35,4
92,Curlew sandpiper,Coast,Bird,19,0.10,23,40,4
93,Ghost crab,Coast,Crustacean,3,0.08,5,16,4
94,Samango monkey,Coast,Mammal,30,9.31,138,55,4
95,Cape fur seal,Coast,Mammal,30,187,215,44,4
96,Wandering albatross,Coast,Bird,60,10,135,80,2
97,Mantis shrimp,Ocean,Crustacean,20,0.09,38,6,1
98,Killer whale,Ocean,Mammal,80,8000,760,56,3
99,Great white shark,Ocean,Fish,40,3200,600,40,2
100,Southern right whale,Ocean,Mammal,100,90000,1600,14,4
101,Tiger pistol shrimp,Ocean,Crustacean,7,0.05,5,6,4
102,Humpback whale,Ocean,Mammal,60,40000,1800,17,4
103,Long beaked common dolphin,Ocean,Mammal,40,325,250,25,4
104,Atlantic herring,Ocean,Fish,20,1,45,6,4
105,Cusk eel,Ocean,Fish,30,25,200,4,4
106,Oyster toadfish,Ocean,Fish,8,0.60,38,9,4
107,Cape rock lobster,Ocean,Crustacean,50,5,46,18,4
108,Bottlenose dolphin,Ocean,Mammal,35,300,400,35,4
